"titles","pros","cons","toceo"
"""워라밸이 좋음. 복지가 좋음. 네임밸류가 높아 다니면서 주변의 달라진 인식을 느낄수 있음.""","진정한 자율근무제가 시행되는 곳. 다만 팀마다 분위기는 다를 수 있음.","IT회사라기에는 시스템 및 리더쉽의 부재가 큼. 개발자로 성장하기에는 한계가 있음. 잦은 조직 개편으로 의외로 구성원들의 불안감이 높음.","특정 분야에서는 한계를 인정하고 사업을 차근차근 전개해나갈 필요가 있음. 모든 사업이 시작만 하면 자기네가 일류라고 함. 이런 경영진의 인지부조화가 일을 망쳐 먹고 있음."
"""연봉과 복지는 만족, 그러나 주먹구구식 운영으로 불안함은 커져간다""","국내 1위 통신사로서의 입지를 바탕으로 안정적인 연봉과 복지 그리고 국내 기업문화로선 최고 수준","규제산업인 통신업이기에 어쩔 수 없이 다음 먹거리를 찾아야하는데 마땅한 먹거리가 없어보이며 시시각각 변하는 상황으로 불안함","말도 안되는 사업에 집중하지말고 돈이될만한 먹거리를 먼저 찾았으면.."
"""좋은처우와 유연한 문화 성장에 대한 갈증은 숙제""","연월차휴가 자유로움.유연한분위기 똑똑한 사람들 좋은 복리후생","보고서 작업 많음 외주많음 내부에 인력적체 심화 지나친 조직간 사일로","새로운 성장동력을 빠르게 발굴해야할 필요 안정적이기는 하나 성장이 부족"
"""사회적 공헌을 많이 하는 기업이라고 할 수 있습니다. 일하게 되신다면 후회안할듯""","회사 사내 복지가 뛰어남. 직원들 간의 단결이 잘 됨.","단점은 딱히 보이지 않았습니다. 그래서 쓸 말이 없네요.","앞으로도 더욱 더 노력해서 SK의 미래를 책임 져 주세요."
"""1등기업은 다르다 복지 연봉면에서 확실히 최고이긴한듯
왜 들어오고 싶어하는 회사인지 알게됨""","연차 전날 올리기만 하면 아무 때나 가능
휴대전화 및 요금제 무료제공
그외 많은 복지 및 연봉","지방을 삼년갔다와야된다는점
서울에 다시 돌아오면 신입급","신입지방파견에 대하여 이견이 있는거같은데
공평성을 위해 확실한 방향을 제시해주길"
"""성장이 아쉽지만 인정적인 균형을 이루고 있음 미래가 살짝 불투명 하지만 저력이 있다고 생각""","탐탄한 복지 급여 기업문화 뛰어난 인재들이 많음 전통적 지배덕 사업구ㅗ","정체된 성장 미래 먹거리의 부족 다소 우물안 개구리식 안일한 태고의 일부구성원","미래 성장 산업을 발굴해 주세요 그리고 좀 더 에자일한 기업문화를 만들어 주세요"
"""무능력한 CEO로 인해 미래는 어두울 것으로 예상""","타기업에 비해 사내문화, 연봉 만족할만한 수준입니다.
꼰대팀만 걸리지 않는다면 편하게 회사생활 할 수 있어요.","수평문화가 무엇인지 이해를 못하고 있는 기업.
꼰대문화, 인사철만 되면 줄타기 바쁨.","능력없는 사람 뽑아 줄타기 그만하고 회사의 발전을 위해 윗물좀 바꾸길.."
"""회사 분위기는 좋음. 회의도 개방적인 분위기에서 진행하며
출퇴근 거리도 서울 중심에 있어 지하철이동시 편리함""","회사 문화적인 측면에는 잘되어있다고 볼수있다.
임원분들도 해외파출신들이 대다수 이며
나이불문하고 젊은층이 많은 회사임....","젊은사람들이 많다보니, 조직간의 예의가 없는거 같음
특히 신입사원들은 분위기에 적응하고 해야하는데
그런게 많이 부족하며, 특히 여자팀장들이 문제임","모든 조직원들에게 정당하게 업무 배분하였으면 좋겠다
일도 하는사람만 하고 안하는사람은 그냥 앉아서 놀다가 시간떼우고 집에가는
일안하는 부장급들이 몇몇 있음"
"""대기업이라는 장점이 있으며, 복지도 좋은건 인정합니다""","대기업의 장점으로 복지와 각종 혜택이 많아 좋습니다. 그리고 회사의 위치도 좋아서 편리하고 좋습니다.","어느기업이나 마찬가지겠지만 딱딱한 조직이며, 일이 엄청 많음. 시대를 따라가지 못하는 느낌이 강함. 대기업다운 구조임","너무 꼰대처럼 굴지 않았으면 하는 마음 수평적인 구조로 일했으면 하는 마음"
"""회사 다니기 좋은 환경 복지가 생각이상으로 좋음 연봉외에 들어오는게 많음""","복지좋음 연봉높음 직원이 누릴 수 있는 혜택이 다양함 노도 좋음","윗사람들의 무능력함 일하는 사람만 함
무능력하나 자리만 지키는 사람들이 많이서 팀에서 실상 일하는 사람은 한두명","윗물을 갈아야함
철저한 성과주의로 가야하고 실적을 날치기하는 일이 없어야함"
"""말뿐이 아닌 선택근로제, 자유롭지만 그만큼의 책임이 요구되는 곳""","선택근로제여서 출퇴근이 자유로웠음, 을지로에 있는 AI센터 계약직이었는데 파견직까지도 8~10시 사이 출근하고 주 40시간만 지키면 됨. 야근 강요 안하는 데 업무에 따라 다른 듯. 수평적인 분위기, 안마의자에 도서관, 넓고 깨끗한 사내식당, 헬스 센터 다 이용 가능하고 사내복지 다 마음에 들었음","딱히 시스템적인 문제는 느끼지 못했으나 프로젝트 단위 부서가 많아 소속이 자꾸 바뀜...? 모르는 사이에 팀명이 바뀌어 있어서 놀랐음. 하지만 딱히 계약직으로 불편한 점은 많지 않았음","구성원들의 의견을 적극적으로 들으려는 내부 시스템이 잘 마련되어 있어 좋았음. 앞으로도 이렇게 해 나갔으면 함."
"""최고의 복지수준 최고의 직업만족도. 업무강도역시 버겁지 않다.""","통신사 1위의 자부심. 높은 연봉. 그에 걸맞는 복지까지 주어집니다","내부에서 젊은 피를 수혈받아 좀더 영한 조직으로 탈바꿈하고자 합니다만, 아직 갈 길이 먼듯 합니다.","젊고 자유로운 분위기로 갈건지, 수직적인 조직문화를 유지할 것인지에 대한 확실한 결정이 필요하다고 생각합니다."
"""자유롭고 의견을 얘기하며 있었던곳
대기업다움을 경험한곳""","대기업의 물적 인적 자원의 우수성을 충분히 경험할수 있는","낙하산이 많은 홍보팀
그래서 낙하산 전담하는 사람들이 있음","너무나 오래전이라
기억은 안나지만
그래도 합리적으로 잘 경영"
"""안정직이고 복지나 페이수준이 높은편이나 업무강도는 쎈편. 자기개발을 하지않으면 도퇴되기 쉬움""","보수가 높음, 기업문화가 현대적인편, 복지가 좋은. 근무환경이 우수함.인지도가 높음","문서작업이 많은편이고 의사결정 단계가 많아 실제 업무실행이 되는데까지 한참걸림. 기존에 수익모델에서 벗어나기 위해 다방면으로 접근하고 있지만 쉽지 않음","실패를 두려워하지말고 신속한 의자셜정으로 많은 실패경험을 쌓아서 도약할수 있기를 바람"
"""복지가 좋고 개인주의를 존중하는 분위기 이였어서, 쓸데없는 회식등이 많지 않아 좋다""","부서에 따라서 다르겠지만, 연차를 자유롭게 사용할 수 있고, 회식이 있더라도 주로 점심회식이 이며 개인시간을 많이 빼앗지 않는다, 근무시간을 개개인이설정 할 수 있어 출퇴근 시간도 비교적 자유롭다","대기업 인 것 치고 업무를 진행할때 일정이 제대로 짜여져 있지 않은 느낌이었다.","부서에 따라서 다르겠짐나 연차를 자유롭게 사용할 수 있고, 회식등이 있더라도 주로 점심회식이며 개인시간을 많이 빼앗지않는다, 근무시간을 개개인이 설정 할 수 있어서 출퇴근 시간도 비교적 자유롭다."
"""선진기업의 모양새를 잘 갖춘 회사. 할것만 잘 하면 많은 부분 자유롭고 상식적으로 돌아가는 곳""","자율출퇴근. 서로 신경 잘 안씀. 복지. 위치. 상식적인 사람들.","잦은 구조조성으로 조직결속력 및 업무애정도가 약함. 서로 묵묵히 자기 일만함. 소잃고 외양간 고치는일이 많음","자기일에 실력과 애정을 갖고있는사람이 같은일을 오래할수있었으면 좋겠음."
"""워라밸 좋음. 사람들도 좋으며 처우가 좋아 만족할 수 있음. 개인과 회사의 성장은 의문...""","휴가 마음대로 쓸 수 있음. 연봉이 높은 편임. 계약 연봉은 적음","회사의 성장성이 낮음. 중요한 일보다 쓸데 없는 일을 많이 함.","매년 연봉이 줄어드는 회사에 좋은 인재가 몰릴 수 없습니다. 밥맛없는 식당에서 직원들의 사기가 올라갈 수도 없습니다."
"""자유로운 만큼 극개인주의이고 질서가 없는 회사. 실력만큼 인정받을 수 있는 회사.""","매우 자유롭고 상사 눈치를 보지 않고 다닐 수 있다. 직급간 평등성이 꽤나 강하다. 좌석도 자유롭게 앉을 수 있고, 내가 원하는 환경에서 일할 수 있는 것이 장점이다. 유연근무제가 매우 활성화되어있다.","자유로운 만큼 질서가 없다. 같은 부서 사람이 같은 공간에 있지 않을 때도 있고 서로 무슨 일을 하는지 모를 때도 있다. 출퇴근 때 인사를 안하는 사람도 많고 혼밥하는 사람도 많다.","스마트오피스도 좋지만 극개인주의를 피할 수 있는 방법이 마련되어야 할 것 같다."
"""비효율적인 업무방식에 지치지만 금융치료 한방으로 해결""","복지 수준이 매우 높으며 사내문화도 프리한 편. 팀바팀이겠지만 휴가, 근무 등등 자유롭게 사용가능하며 회식참여도 자유로움.","비효율적인 업무, 탁상공론식 일처리, 과도한 회의문화가 심각. 또한 회사의 구성원 수가 적어 분담하게 되는 일 양이 굉장히 많음. 우수한 엔지니어의 꿈을 갖고 입사하지만 현실은 프로젝트를 관리하고 사람을 컨트롤할 뿐 실질적인 기술적 역량을 향상할 기회가 많지 않음.","보고를 위한 회의, 일처리가 개선된다면 회사가 더 큰 성장을 할 것"
"""업무영역과 근무조건 모든 면에서 대한민국 최고의 회사""","하고 싶은 일을 할 수 있는 자원이 풍부하다.
훌륭한 스펙의 동료직원들, 이해도 높은 팀장, 멋진 사옥을 가지고 있다.
본인 의사에 따른 근로시간 선택권 부여, 승인이 필요하지 않은 연차제도도 매우 훌륭한 장점","파워포인트 작성에 능해야한다. 회사 분할을 한다는 소문에 구성원들이 혼란해한다.","박정호 사장님은 비젼을 제시하는 훌륭한 리더"
"""대기업이나 구성원들의 문화가 좋은 회사""","자유로운 분위기. 똑똑한 동료들. 훌륭한 복지. 시설. 연수원. 연수제도 구내식당","대기업의 성장 한계. 정치적 문화. 의사결정 프로세스. 혁신 실행의 부족.","사람들이 꿈을 키울 수 있었으면 좋겠습니다. 이상적 사회의 표본이 되었으면."
"""워라밸이란 단어는 직원들에겐 없는 단어다.
노동의 착취만 있을뿐 보상은 없다.
여러사람 상대하고 싶으면 입사하길...""","대리점 근무시 실적에 따라 급여가 바뀔수 있음.
월급쟁이 생활보단 영업의 길로 가실분은
입사 장벽이 낮기때문에 쉽게 일을 시작할수 있음.
내근직이기때문에 몸은 편할수 있음.","기본급여만 바라보고 입사를 한다면 최저임금보다 못한 급여.
주6일 12시간씩 일해야 하는 근무 조건.
사람 상대해야 하기때문에 스트레스가 많고
불안정한 급여, 실적 압박을 견뎌내야 함.","실적 대비 인센티브 차감 방식의 급여 체계는 부당하다고 생각됨."
"""일강도, 업무스트레스는 엄청빡세지만 복지는좋은회사""","체계적인 교육시스템, 사용은거의못하지만 많은연차, 출산휴가와 육아휴가 복지는 최고인회사","업무스트레스과다, 개개인의잘못을 팀잘못으로 넘겨 여러번보게하는 눈치 늦어도 8시 30분 근데 퇴근은??","개인의잘못을 팀으로 넘기지말았으면 개개인 인센티브제는좋으나 남의잘못으로 나의월급에 영향미치는 일은 더이상 없었으면"
"""회사는 좋으나,급여 너무 짜고 계약직으로 들어온상 계속 계약직..정규직 전환은 절대 없다""","계약직 비서나 사무의 경우 거의 터치를 안한다.칼퇴가능.본사의 경우 교통편이 편리.건물이 좋다","정규직들만의 리그가 있어 절대 어떤 대화에도 낄수 없음..팀일을 해도 말을 아예 안함.방치수준으로 소속감이 제로다.개인주의심함.계약직 업무의 경우 메뉴얼이 없어 던져 놓고 그냥 하라고 시킬때가 있어요; 알아보느라 시간로딩이 많이 걸립니다.같은 계약직인 경우에도 외부에서 온 경우 텃세부림.계약직 여직원끼리끼리 몰려다님..계약직으로 들어오면 계열사로 잘하면 갈수 있으나 연봉은 절대 오르지 않음.정규직 성과급줄돈으로 계약직 기본급을 좀더 올려줬으면 한다..","같은 팀원으로 일하며 도와주는데 너무 선그으시면 힘들어요
계약직 기본급여좀 올려주세요..그래야 그나마 2년 채웁니다."
"""연봉이나 복지는 높은 편이지만 자기 성장에 좋은 회사이지는 않은 것 같음""","연봉 및 근무 여건이 좋은 편이다. 특히 본사 근무를 하는 입장에서 회사의 입지 또한 매우 좋다. 2주80시간 근무제도 매우 유연한 출퇴근 시간을 보장한다","팀의 방향성이 생각보다 자주 바뀌고 잘 되는 조직은 분사가 되는 사례가 많다. 다른 회사에 비해서 조직 개편 역시 자주 되는 편이다.","기존 사업외에도 신규 사업에 투자를 하고, 기본급이나 성과금 역시 최근들어 비슷하거나 살짝 줄어가는 추세인데 좋은 인력에 대한 투자를 아끼지 않았으면 한다."
"""복지가 좋고 남녀 성비도 좋음. 하지만 업무가 과도해 자유로운 출퇴근에도 불구하고 야근과 밤샘업무가 생길 수 있음.""","팀마다 차이는 있지만 회사 분위기가 자유롭고 수평적인 편 하지만 시즌별 과한 업무량으로 가끔 밤샘 작업고 필요한 곳. 연차 휴가 등을 자유롭게 쓸 수 있고 퇴근시간 또한 비교적 자유로움","기술력이 좋은 회사이지만 경영지원 쪽으로는 데이터화가 덜 되어있어서 빠른 발전이 필요해 보임. 이런 이유 때문에 불필요한 업무가 발생하는 일이 종종 있음","복지가 굉장히 좋고 사내 분위기가 자유롭지만 팀마나 약간의 지체가 있고 계약직으로 대체하는 영역이 많은 부분에서는 개선이 필요해 보임"
"""회사 전체가 편안하고 안정적인 분위기로 적응하기 좋은 화사입니다 계약직에 대한 시선 및 처우가 좋았습니다""","계약직에 대한 시선 및 처우가 좋음
직급체계가 없이 개방적인 업무환경을 추구함","재계약이 불가능하며 조직개편이 잦은편이라 매년 한두번씩 모두가 정신없는 분위기","계약직의 업무강도가 있는편안데 무기계약직으로라도 전환이 가능하다면 기업측에서도 효율적이지 않을까 싶습니다"
"""다양한 개발환경 경험 가능합니다. 역시 sk 하는 이유가 있네요.""","사무실 분위기도 좋고, 개발환경이 개인적으로 만족하는편입니다.","퇴근시간이 그때마다 다른것 빼고는 딱히 단점은 없습니다.","업계1등을 유지할 수 있도록 신규사업 추진 및 활성화가 필요할듯합니다."
"""미생의 살아있는 기업. 정규직외 계약직 이제는 돌려서 계약. 2년후엔 버려지는비정규무덤. 정규직외 살아남기힘듬""","1위업계 프라이드 강함. 사내 인사이동 및 복지 대기업답게 좋음","보수적 인사. 라인잘못타면 나가라는식의 회사정치 극심함.","체계적업무 R&R 통한 구체적 업무계획있어야할것이며 1위 선두다운 모습보여야함. 겉보기가 중요시하기보단 2년마다 재계약시 정규직전환 두려워하며 OUT."
"""상호 존중하며 성장할 수 있는 계속해서 성장할 대기업""","근무시간을 유동적으로 자유롭게 조정해 사용할 수 있는 분위기이며, 본 업무 외에도 평소 꿈꿔왔던 분야나 사업 아이템을 건의해 키워볼 수 있는 플랫폼이 잘 마련되어 있다. 꽤 효율적이고 실제적으로 운영된다고 생각되었음.","기업의 단점이라기보다는 단기인턴직으로서 업무를 볼 수 있는 데 사내 추진 업무 관련 정보 접근이 제한적이었기 때문에 일부만 보고 일하는 다소 표면적인 업무를 보는것이 아닌가 하는 생각이 들 때도 있었던 점은 다소 아쉬움.","회사 평균나이를 젊게 만들려는 시도는 굉장히 바람직하고 변화하는 환경에 대응하기도 아주 적합하다고 생각한다. 하지만 기존 입지를 다지고 키워 온, 아직은 회사를 지탱하고 있는 기성세대(라고 표현하겠다) 사원들에게 혁신적인 기업문화 변화가 빠르게 느껴질 수 도 있다는 느낌을 받았다. 중재적인 커뮤니케이션도, 기존 근무자가 더 친근하게 느낄 수 있는 플랫폼을 통해 상승한다면 변화에 대한 저항을 줄일 수 있을 듯."
"""개발하는 곳에 있다면, 제대로 개발 할 수 있음. ICT 회사인 만큼 트랜드에는 조금 뒤처져 있는 느낌""","수평적인 분위기에서 열심히 개발할 수 있음. 트렌드를 쫒아가기 위해서 열심히 노력하며 공부. 낮지 않은 연봉","IT회사가 아니다. 라는 느낌이 팍팍 든다. 회사 내부 devops 지원 부실부터, 개발자에게 맥북 주는 것이 특혜라고 생각하는 비IT인들이 포진해있다.","제대로 된 서비스를 만들고 싶으면 제대로 된 지원을 해주면 좋을 듯"
"""뛰어난 복지와 인지도. 하지만 구성원은 지친다.""","국내 Top 기업이 걸맞는 복지제도, 인지도, 기업문화","안정적 사업 덕분에 도전 사업을 하고자 하는 구성원이 없다","도전적인 기업 문화가 필요하다고 생각하고, 잦은 경영진 교체가 아닌 지속적인 사업 수행이 필요함"
"""복지와 사내문화 등 모든 면에서 바람직해 보여서 후에 꼭 다시 일해보고 싶음""","굉장히 자유로운 분위기, 복식 자유, 위아래 터치 크게 없음. 업무시간에 서로 각자 업무에만 집중하는 분위기. 사내복지 좋음","알바라 10분전에 칼퇴했는데 다른 직원들은 당시 다들 잔업하는 분위기 였음. 현재는 어떤지 모르겠음","유연한 근무형태가 장점이라 생각됨. 경영진의 생각이 당시는 좋아보였음"
"""계약직서무나 비서한테는터치가없는편
저임금에 단기계약으로 경력쌓으려면좋다 .""","복리후생 시간적여유가많다. 눈치는보여서 자리는오래못비우고 너무딴짓해도 눈치가보여 킬링타임으로 인터넷쇼핑몰이라도해야할듯","계약직 그들사이에서도 무시하기도하고 등급이결정된다. 자격지심이생긴다","정직원들은 최대한 차별대우없이해주는편이지만 여직원들에대한말들이많은편이다"
"""꾸며놓음 이미지가 좋은 회사인 듯. 어느 회사나 그렇겠지만 안에서 볼때랑 차이가 남.""","근무시간이 자유롭고, 본인의 업무만 잘 하면 됨. 복지가 매우좋고 기업 문화가 수평적인 편임.","라인이나 서열화? 보이지 않는 싸움이 심한 편 같음. 딱히 얽히고 싶지 않다","이미 1위 기업이지만, 예전보다는 경쟁력이 떨어지는 것 같음. 더 노력하여주면 좋겠다."
"""지방에서 근무하면 기러기 아빠들이 너무 많아서 술자리가 잦아요. 인턴하면서 프로젝트 진행하며 대리점 많이 다녔는데, 실적이 좋아도 술 마시고 나빠도 술 마시고.. 술 마신 기억이 50프로, 인턴 동기들끼리 치열하게 경쟁한게 50프로의 기억입니다.""","연봉이 높습니다. 무엇을 상상하던 그 이상일 겁니다. 인턴 동기 중 지금도 근무하는 친구들이 있는데 연봉에 있어서는 원탑입니다.","지금은 모르겠지만 15년도 입사자라면 3년 이상 지방 근무가 입사 조건입니다. 술자리가 잦아서 자기 개발 시간이 없습니다. 본사 분위기는 자유롭다는데 지방은 그렇지 않아요.","인턴 입장에서는 아직 경영진에게 바라는 점은 없었어요. 만약 금전적인 부분을 중시하는 분이라면 만족. 워라벨 중시하는 분이라면 불만족 할 것 같네요."
"""안정적인 BM을 기반으로 잘하는 영역에 있어서는 경쟁력 추구, 신규 영역에 대해서는 적극적으로 도전하는 회사""","확실한 수익모델을 기반으로 해서 안정적인 사업을 하고있고, 조직문화 혁신에 관심이 많음","연차가 높은 사람들의 경직된 사고는 여러 업무를 하는데 방해가 되는 경우가 있음","5G 시대 및 신규 ICT 사업 추구에 알맞는 기업문화 및 업무 추진 프로세스 필요"
"""근무환경 복지 같이 일하는 동료 전반적으로 매우 좋은 점들이 많은 회사임""","복지 동료 근무환경 연봉 등 전반적으로 좋은점이 많은 회사임","일부 관리 직종에 계신 분들께서 닫힌 마인드를 가지고 계심","젊은 인력들이 자기 의견을 잘 개진할수 있도록 도와주세요"
"""개발자가 대우받으며 일할 수 있는 환경이 매우 잘 갖춰져 있음.""","자기개발에 도움 될 수 있는 정직원 대상 프로그램이 내부적으로 다양함. 좋은 사업 아이디어가 있다면 동의를 거친 후, 본인이 직접 기획하고 실현할 수 있게 많은 지원을 해줌. 휴가를 눈치 안 보고 쓸 수 있음.","생각했던 것만큼 수평적인 조직문화가 아님. 하지만 수평적인 문화 도입을 위해 전체적으로 꾸준히 노력하고 조심하는 모습을 볼 수 있음.","좋은 기업문화와 개발자에게 좋은 환경 속에서 일할 수 있어서 좋았습니다."
"""연봉 복지 국내 최고 수준.연봉 상승률은 떨어지지만 어마어마한 인센티브로 유지""","연봉 복지 우수한 인적 자원 확실한 캐시카우가 있어서 매출 수익걱정 없음","실행력없는 꼰대들 많음 인사팀 이상함
신규사업 성공사례 거의 없음","공정하고 투명한 인사제도 구성원 커리어 육성 신경써주세요"
"""회사는 좋은 회사입니다. 복지 나 이런건 최고죠..""","복지가 좋고 자기개발에 도움되는 교육 및 세미나등 많음","관련 부서가 많아서 먼가 일이 잘 진행되지 않고
딱 책임지는 사람이 없음 ..","수평적인 조직을 추구하면 정말 수평적인 조직 체계를 갖추었으면 함
한팀에 20명씩 있고 이런 구조로 수평적이고 빠른 조직이 되지 않음"
"""업무량이 과중한 편이며 정해진 콜수 콜타임을 강조하다보니 힘들었습니다.""","대기업이라 복지가 좋은편이며 상위 영업자는 보상이 잘 이루어지는 편이며, 상여금등의 제도가 잘 갖춰져 있습니다. 그리고 체계적인 교육이 이뤄지는 편입니다.","영업업무로 일정량 이상의 목표량을 달성하지못하면 퇴근이 어렵고 상사의 눈치를 많이 봐야 했습니다. 영업조직이기에 당연한거지만 하루하루 목표량이 달성되지 않으면 퇴근에 눈치를 봐야했습니다.","상사와 사원간의 인격적인 존중이 이뤄졌으면 좋겠습니다."
"""네트워크 계통으로 경력 올리기엔 한국에 이보다 나은 기업이 있을까""","교육 커리큘럼과 연봉, 복지 뭐 하나 빠지는게 없음. 통신비 지원, 휴대폰 매번 바꿔주고 통신사 포인트도 엄청나게 나옴. 연봉 외적인 부분이지만 실 지출 부분에 상당히 들어갈 수 있으므로 사실상 연봉은 훨씬 높음","그러니 그만큼 일을 많이 시킴. 능력이 되면 그만큼 쾌적하게 일하겠지만, 안된다면 다니면서 적당히 공계열로 이직을 준비하는게 낫지 않을까 함. 물론 지금 다니고 있는건 아니지만, 바닥이 바닥인지라 더 치열해질거라 예상.","아무래도 반독점이라 그런지 경영진에선 현상유지가 최선이라 생각함. 과감한 해외시장 진출이라던지 기술 쇄신 등 어느정도 리스크를 감수하고 계속 발전해야한다고 생각."
"""직원들에 처우가 매우 좋고 최대한 수평적인 구조를 유지하려고 노력하는것 같습니다.""","야근비 및 보상 처우가 좋음
좋은 근무지 환경을 가지고 있습니다","보고서가 좀 많습니다.
내부적으로 조직변경이 많아서 회사명이 바뀔까 불안합니다.","근속년수 오래다닐수 있도록 많이 도외주세요
변화도 조금 진행해 주세여"
"""충분한 보상이 매력적인 회사임. 폭넓은 업무를 경험해 볼 수 있음.""","무엇보다도 성과급이 매력적임. 그 외 다양한 복지 시스템을 잘 갖추고 있음. 다양한 업무를 경험할 수 있고, 원하는 부서에서 일을 해 볼 기회도 (다른 회사에 비해)쉽게 가질 수 있음.","보고, 문서위주의 업무문화.
실행력보다는 보고와 비전제시를 중시하는 기업 문화. 주로 외부의 조력을 받아서라도 빠른 결과를 내는데 더 집중하는 기업입니다.","큰 기회만 노리면서 작은 기회들을 흘려보내지 않았으면 합니다. 제 생각엔, 서비스 출시 이후 지속적으로 가꾸어 나갔다면 현재 더 좋았을 서비스들이 많았습니다."
