cust_id,gender,age,work_yn
C10352,2,63,1
C10353,2,44,1
C10354,1,52,1
C10355,1,25,0
C10356,1,39,1
C10357,2,25,0
C10358,1,55,1
C10359,2,27,0
C10360,1,31,0
C10361,2,44,1
C10362,1,48,1
C10363,1,43,1
C10364,2,52,1
C10365,2,44,0
C10366,2,29,1
C10367,2,32,1
C10368,2,35,1
C10369,1,70,0
C10370,1,45,1
C10371,2,37,1
C10372,1,54,0
C10373,2,49,0
C10374,1,51,1
C10375,1,46,1
C10376,1,46,1
C10377,1,51,1
C10378,2,23,0
C10379,1,42,1
C10380,1,83,1
C10381,2,52,1
C10382,1,27,0
C10383,2,35,0
C10384,2,35,1
C10385,2,21,0
C10386,1,46,1
C10387,2,44,1
C10388,1,39,1
C10389,2,53,0
C10390,2,27,0
C10391,2,54,1
C10392,2,54,0
C10393,2,21,0
C10394,1,45,1
C10395,1,67,0
C10396,1,24,0
C10397,2,22,0
C10398,1,21,0
C10399,2,76,1
C10400,2,45,0
C10401,1,29,0
C10402,1,85,1
C10403,1,39,1
C10404,2,40,1
C10405,2,24,0
C10406,2,53,1
C10407,2,64,1
C10408,2,63,0
C10409,1,56,1
C10410,1,43,1
C10411,1,66,0
C10412,1,43,1
C10413,2,48,0
C10414,2,53,1
C10415,1,46,1
C10416,2,48,1
C10417,2,50,1
C10418,2,37,1
C10419,1,46,1
C10420,2,64,0
C10421,1,52,1
C10422,1,27,0
C10423,1,61,1
C10424,2,55,0
C10425,2,77,0
C10426,1,25,0
C10427,1,29,0
C10428,1,53,0
C10429,2,24,0
C10430,1,64,1
C10431,1,44,1
C10432,1,40,1
C10433,1,64,0
C10434,2,50,1
C10435,1,46,1
C10436,2,44,1
C10437,2,26,0
C10438,2,21,0
C10439,1,37,1
C10440,1,64,1
C10441,1,49,1
C10442,2,57,1
C10443,2,27,0
C10444,1,27,0
C10445,1,50,1
C10446,1,45,1
C10447,1,67,0
C10448,2,21,0
C10449,2,61,0
C10450,1,29,0
C10451,1,48,1
C10452,2,62,0
C10453,1,71,1
C10454,1,31,0
C10455,2,60,0
C10456,2,62,1
C10457,1,49,1
C10458,1,29,0
C10459,1,60,1
C10460,1,56,1
C10461,1,21,0
C10462,2,73,1
C10463,2,48,1
C10464,2,33,0
C10465,2,37,1
C10466,1,74,0
C10467,1,49,1
C10468,1,73,0
C10469,1,79,0
C10470,1,43,1
C10471,2,37,1
C10472,2,79,0
C10473,2,39,1
C10474,2,40,1
C10475,2,61,1
C10476,1,27,0
C10477,2,64,1
C10478,1,32,0
C10479,1,28,0
C10480,1,86,1
C10481,1,46,1
C10482,1,24,0
C10483,1,60,1
C10484,1,48,1
C10485,2,78,1
C10486,1,38,1
C10487,1,50,1
C10488,2,47,1
C10489,2,34,1
C10490,1,50,1
C10491,1,69,0
C10492,1,48,1
C10493,1,55,1
C10494,1,36,1
C10495,1,38,1
C10496,1,77,0
C10497,1,61,1
C10498,2,25,0
C10499,2,46,0
C10500,2,54,1
C10501,1,64,0
C10502,2,25,0
C10503,2,41,1
C10504,1,79,0
C10505,2,39,1
C10506,2,61,1
C10507,1,40,1
C10508,2,74,1
C10509,1,44,1
C10510,1,51,1
C10511,2,55,0
C10512,1,71,0
C10513,2,52,0
C10514,2,39,0
C10515,1,38,1
C10516,2,69,0
C10517,1,24,0
C10518,2,49,1
C10519,1,39,1
C10520,1,41,1
C10521,2,65,1
C10522,2,25,0
C10523,2,54,1
C10524,2,48,0
C10525,2,34,1
C10526,1,33,0
C10527,1,20,0
C10528,2,31,0
C10529,2,45,0
C10530,2,50,0
C10531,2,62,1
C10532,1,35,1
C10533,2,55,1
C10534,2,66,0
C10535,1,50,1
C10536,1,78,1
C10537,1,36,1
C10538,1,29,0
C10539,2,39,1
C10540,2,30,0
C10541,1,39,1
C10542,1,76,0
C10543,2,70,0
C10544,1,65,0
C10545,1,71,1
C10546,1,62,1
C10547,2,64,1
C10548,1,47,1
C10549,1,27,0
C10550,1,23,0
C10551,1,53,1
C10552,1,26,0
C10553,2,51,1
C10554,1,48,1
C10555,2,35,1
C10556,2,30,1
C10557,1,34,1
C10558,1,39,1
C10559,2,43,1
C10560,1,50,1
C10561,1,64,0
C10562,1,44,1
C10563,1,83,0
C10564,1,34,1
C10565,1,62,1
C10566,2,36,1
C10567,2,54,1
C10568,2,64,1
C10569,1,34,1
C10570,2,74,1
C10571,1,29,0
C10572,2,54,1
C10573,1,56,1
C10574,2,79,0
C10575,1,35,1
C10576,1,53,1
C10577,1,67,1
C10578,2,37,1
C10579,1,54,1
C10580,2,54,1
C10581,2,25,0
C10582,1,62,1
C10583,2,73,0
C10584,2,58,1
C10585,2,63,0
C10586,1,55,1
C10587,2,27,0
C10588,2,63,1
C10589,1,68,1
C10590,1,89,1
C10591,2,44,1
C10592,2,50,1
C10593,1,57,1
C10594,2,78,0
C10595,1,61,0
C10596,1,75,1
C10597,2,44,1
C10598,1,41,1
C10599,1,47,1
C10600,1,58,1
C10601,1,78,1
C10602,2,65,0
C10603,1,32,1
C10604,2,27,0
C10605,1,46,1
C10606,2,51,1
C10607,2,69,0
C10608,1,70,0
C10609,2,47,1
C10610,1,55,1
C10611,1,69,0
C10612,1,72,0
C10613,2,65,1
C10614,1,53,1
C10615,2,56,1
C10616,2,62,1
C10617,1,62,1
C10618,1,28,1
C10619,2,57,0
C10620,1,43,1
C10621,1,35,1
C10622,2,44,0
C10623,2,52,0
C10624,1,41,1
C10625,1,35,1
C10626,2,47,1
C10627,2,62,1
C10628,1,45,1
C10629,1,40,1
C10630,1,74,1
C10631,1,64,1
C10632,1,41,1
C10633,1,65,1
C10634,1,64,1
C10635,1,34,1
C10636,2,56,0
C10637,2,50,1
C10638,2,67,0
C10639,1,51,1
C10640,2,49,1
C10641,1,69,0
C10642,1,45,1
C10643,2,63,0
C10644,1,34,1
C10645,2,58,0
C10646,1,39,1
C10647,1,61,1
C10648,2,55,1
C10649,1,35,1
C10650,2,36,1
C10651,2,37,1
C10652,1,49,1
C10653,2,62,1
C10654,1,35,1
C10655,2,48,1
C10656,1,57,1
C10657,2,30,0
C10658,1,67,1
C10659,2,45,0
C10660,1,75,1
C10661,1,30,0
C10662,1,57,1
C10663,1,40,1
C10664,1,56,1
C10665,1,38,1
C10666,2,56,1
C10667,2,54,1
C10668,2,74,0
C10669,1,32,0
C10670,1,73,0
C10671,2,53,1
C10672,2,54,1
C10673,2,29,1
C10674,1,45,1
C10675,1,36,1
C10676,2,29,1
C10677,2,57,0
C10678,1,71,0
C10679,1,29,0
C10680,2,83,1
C10681,2,72,0
C10682,2,46,0
C10683,1,85,0
C10684,1,45,1
C10685,2,33,0
C10686,1,32,1
C10687,1,57,1
C10688,2,49,1
C10689,2,56,1
C10690,2,42,1
C10691,1,39,0
C10692,2,55,1
C10693,1,73,0
C10694,2,51,0
C10695,2,44,1
C10696,1,29,0
C10697,2,41,1
C10698,1,33,0
C10699,1,32,0
C10700,1,57,1
C10701,2,68,1
C10702,2,64,1
C10703,1,25,0
C10704,1,52,1
C10705,1,77,0
C10706,1,60,1
C10707,1,70,1
C10708,2,59,0
C10709,1,53,1
C10710,1,50,1
C10711,2,72,0
C10712,1,46,1
C10713,1,48,1
C10714,2,54,1
C10715,1,66,0
C10716,2,48,1
C10717,1,28,0
C10718,1,30,1
C10719,1,37,0
C10720,2,76,0
C10721,1,33,0
C10722,1,57,1
C10723,2,83,0
C10724,2,57,1
C10725,2,60,1
C10726,1,76,1
C10727,2,53,1
C10728,2,62,1
C10729,1,53,1
C10730,1,52,1
C10731,2,40,1
C10732,2,41,1
C10733,1,47,1
C10734,2,61,1
C10735,1,50,1
C10736,2,59,1
C10737,2,26,0
C10738,1,54,1
C10739,1,61,0
C10740,1,20,0
C10741,2,39,1
C10742,2,27,0
C10743,2,59,1
C10744,1,22,1
C10745,2,54,1
C10746,1,61,1
C10747,1,46,1
C10748,2,57,0
C10749,1,58,1
C10750,1,31,0
C10751,2,32,0
C10752,1,46,1
C10753,2,42,0
C10754,2,24,0
C10755,2,61,1
C10756,1,38,1
C10757,2,64,0
C10758,1,38,1
C10759,2,43,1
C10760,2,38,1
C10761,2,49,1
C10762,1,40,1
C10763,1,49,1
C10764,2,26,0
C10765,1,72,0
C10766,2,41,1
C10767,2,27,0
C10768,1,66,0
C10769,1,46,1
C10770,2,27,0
C10771,2,67,1
C10772,1,74,1
C10773,1,47,1
C10774,2,63,1
C10775,1,46,0
C10776,2,44,1
C10777,1,71,1
C10778,2,45,1
C10779,2,55,1
C10780,1,57,1
C10781,2,20,0
C10782,1,39,1
C10783,1,35,1
C10784,1,25,0
C10785,2,31,1
C10786,1,29,1
C10787,1,27,1
C10788,2,24,0
C10789,2,59,0
C10790,1,48,1
C10791,1,35,0
C10792,1,70,1
C10793,1,57,1
C10794,1,24,1
C10795,1,46,0
C10796,2,56,0
C10797,1,58,1
C10798,2,50,0
C10799,2,61,0
C10800,1,27,0
C10801,2,84,0
C10802,1,65,1
C10803,1,27,0
C10804,2,40,1
C10805,2,71,1
C10806,2,22,0
C10807,1,53,1
C10808,1,39,1
C10809,1,20,0
C10810,1,49,1
C10811,2,63,1
C10812,1,51,1
C10813,2,49,1
C10814,2,81,1
C10815,1,53,1
C10816,1,39,1
C10817,1,28,0
C10818,1,24,0
C10819,2,46,1
C10820,1,48,1
C10821,2,50,1
C10822,2,79,0
C10823,2,40,1
C10824,2,34,1
C10825,2,39,1
C10826,2,64,1
C10827,2,54,1
C10828,2,30,0
C10829,2,75,0
C10830,2,50,1
C10831,1,35,1
C10832,2,40,0
C10833,1,33,0
C10834,1,46,1
C10835,2,20,0
C10836,1,74,1
C10837,1,20,0
C10838,2,26,0
C10839,2,27,0
C10840,2,42,0
C10841,1,49,1
C10842,1,79,1
C10843,2,49,0
C10844,2,67,0
C10845,2,34,0
C10846,2,44,0
C10847,1,31,1
C10848,1,70,0
C10849,2,65,1
C10850,1,35,1
C10851,1,45,1
C10852,2,48,1
C10853,1,70,0
C10854,2,51,1
C10855,1,45,1
C10856,1,60,1
C10857,2,52,1
C10858,2,47,1
C10859,2,33,0
C10860,2,36,1
C10861,2,61,1
C10862,2,37,1
C10863,1,29,0
C10864,1,33,0
C10865,2,45,0
C10866,1,74,0
C10867,1,31,1
C10868,1,24,0
C10869,2,74,0
C10870,1,63,1
C10871,2,43,0
C10872,1,61,1
C10873,1,40,1
C10874,2,70,1
C10875,2,74,0
C10876,2,74,0
C10877,2,34,1
C10878,1,48,0
C10879,2,47,0
C10880,2,55,1
C10881,2,73,1
C10882,2,32,1
C10883,2,56,0
C10884,2,58,1
C10885,1,46,1
C10886,2,51,1
C10887,1,48,1
C10888,1,31,1
C10889,1,58,1
C10890,1,65,1
C10891,1,42,1
C10892,2,31,0
C10893,1,58,1
C10894,1,39,1
C10895,2,52,1
C10896,2,28,1
C10897,2,34,0
C10898,2,60,1
C10899,1,83,1
C10900,2,24,0
C10901,2,75,0
C10902,2,33,0
C10903,1,60,1
C10904,2,31,0
C10905,1,23,0
C10906,2,42,0
C10907,1,66,0
C10908,1,29,0
C10909,1,63,1
C10910,1,81,1
C10911,2,58,0
C10912,1,55,1
C10913,1,28,0
C10914,1,40,1
C10915,1,43,1
C10916,1,46,1
C10917,1,63,1
C10918,2,31,1
C10919,2,30,0
C10920,2,21,0
C10921,1,39,1
C10922,2,43,1
C10923,2,52,1
C10924,2,28,0
C10925,1,48,1
C10926,1,21,0
C10927,2,35,1
C10928,1,66,1
C10929,2,53,1
C10930,2,84,0
C10931,2,40,0
C10932,1,72,1
C10933,1,64,1
C10934,1,39,1
C10935,1,53,1
C10936,1,29,0
C10937,1,33,1
C10938,2,35,1
C10939,1,40,1
C10940,2,58,0
C10941,1,46,1
C10942,2,45,0
C10943,2,21,0
C10944,1,29,0
C10945,1,51,1
C10946,2,56,1
C10947,2,41,1
C10948,2,62,1
C10949,2,63,0
C10950,1,54,1
C10951,1,47,1
C10952,2,48,1
C10953,2,71,1
C10954,1,78,1
C10955,1,71,1
C10956,1,55,1
C10957,1,52,1
C10958,2,76,0
C10959,2,76,0
C10960,2,35,1
C10961,1,42,1
C10962,1,39,1
C10963,1,35,1
C10964,1,31,0
C10965,2,57,1
C10966,1,44,1
C10967,2,77,0
C10968,2,29,0
C10969,1,53,0
C10970,2,56,1
C10971,2,45,1
C10972,1,36,1
C10973,1,70,0
C10974,1,26,0
C10975,1,69,0
C10976,1,52,1
C10977,1,35,1
C10978,2,58,1
C10979,2,61,1
C10980,2,75,1
C10981,2,56,1
C10982,2,63,1
C10983,1,49,1
C10984,2,48,1
C10985,2,31,1
C10986,1,70,0
C10987,2,61,0
C10988,2,58,1
C10989,1,21,0
C10990,2,31,0
C10991,1,55,1
C10992,2,62,0
C10993,2,22,0
C10994,1,53,1
C10995,2,84,1
C10996,1,46,1
C10997,1,26,0
C10998,1,77,1
C10999,2,58,1
C11000,1,27,0
C11001,1,58,0
C11002,1,48,1
C11003,2,54,1
C11004,1,62,1
C11005,2,69,0
C11006,1,64,1
C11007,1,61,0
C11008,1,39,1
C11009,2,36,1
C11010,1,62,1
C11011,1,58,1
C11012,1,74,1
C11013,1,54,1
C11014,2,41,1
C11015,1,51,0
C11016,2,32,1
C11017,1,37,1
C11018,1,28,0
C11019,1,31,0
C11020,1,64,1
C11021,1,48,1
C11022,2,76,0
C11023,1,28,0
C11024,1,51,0
C11025,2,83,0
C11026,2,41,1
C11027,1,43,1
C11028,2,23,0
C11029,1,57,1
C11030,2,26,0
C11031,2,26,0
C11032,1,47,1
C11033,2,43,1
C11034,1,59,1
C11035,1,43,1
C11036,1,60,1
C11037,1,65,1
C11038,2,76,0
C11039,2,75,1
C11040,1,68,0
C11041,2,57,1
C11042,2,69,1
C11043,2,33,0
C11044,2,58,1
C11045,1,40,1
C11046,2,32,1
C11047,1,76,1
C11048,1,26,0
C11049,1,50,1
C11050,1,20,0
C11051,1,26,0
C11052,2,66,1
C11053,1,81,0
C11054,1,28,0
C11055,2,55,1
C11056,2,44,1
C11057,2,60,1
C11058,2,29,0
C11059,1,58,1
C11060,1,28,0
C11061,2,37,0
C11062,2,43,0
C11063,2,83,1
C11064,1,69,0
C11065,2,40,1
C11066,1,89,0
C11067,1,32,1
C11068,2,43,1
C11069,2,33,0
C11070,2,39,1
C11071,2,55,0
C11072,2,27,0
C11073,1,45,1
C11074,2,54,0
C11075,1,43,1
C11076,2,30,0
C11077,1,56,1
C11078,1,56,1
C11079,1,52,1
C11080,2,79,1
C11081,1,20,0
C11082,1,43,1
C11083,1,52,1
C11084,2,44,1
C11085,1,36,0
C11086,1,69,0
C11087,2,36,0
C11088,1,28,1
C11089,2,48,1
C11090,1,76,1
C11091,2,48,0
C11092,2,62,1
C11093,2,44,1
C11094,2,33,0
C11095,2,60,0
C11096,2,24,0
C11097,2,74,0
C11098,1,23,0
C11099,1,53,1
C11100,2,59,1
C11101,2,70,1
C11102,1,44,1
C11103,2,33,1
C11104,2,44,1
C11105,2,62,1
C11106,2,80,1
C11107,1,64,1
C11108,2,24,0
C11109,1,27,0
C11110,1,45,0
C11111,1,26,0
C11112,2,43,1
C11113,1,60,1
C11114,1,23,0
C11115,2,87,0
C11116,1,59,1
C11117,1,20,0
C11118,1,46,1
C11119,1,64,1
C11120,2,59,1
C11121,2,32,0
C11122,1,50,1
C11123,1,41,0
C11124,2,64,1
C11125,1,40,1
C11126,1,43,1
C11127,1,31,1
C11128,1,61,1
C11129,1,43,1
C11130,2,42,0
C11131,1,53,1
C11132,1,43,0
C11133,2,51,0
C11134,2,60,0
C11135,1,46,1
C11136,1,78,0
C11137,2,78,1
C11138,2,53,1
C11139,1,39,1
C11140,2,23,0
C11141,1,24,0
C11142,2,48,1
C11143,1,23,0
C11144,2,79,0
C11145,1,69,0
C11146,1,29,0
C11147,2,74,1
C11148,2,36,1
C11149,1,34,1
C11150,1,41,1
C11151,2,76,1
C11152,2,58,1
C11153,2,59,1
C11154,1,78,1
C11155,2,51,1
C11156,1,36,1
C11157,2,72,1
C11158,1,28,0
C11159,2,60,1
C11160,2,60,1
C11161,2,42,1
C11162,1,67,1
C11163,2,53,1
C11164,1,52,1
C11165,2,42,1
C11166,1,76,1
C11167,2,59,0
C11168,2,66,0
C11169,2,56,0
C11170,1,57,1
C11171,1,40,1
C11172,1,63,1
C11173,1,54,1
C11174,1,56,1
C11175,2,26,0
C11176,1,35,1
C11177,1,29,0
C11178,2,50,1
C11179,2,63,0
C11180,1,22,0
C11181,1,73,0
C11182,1,54,0
C11183,2,63,1
C11184,1,48,1
C11185,1,71,0
C11186,1,22,0
C11187,1,51,1
C11188,2,58,1
C11189,1,62,1
C11190,2,73,1
C11191,2,50,1
C11192,2,56,1
C11193,1,41,1
C11194,2,63,1
C11195,1,35,1
C11196,1,58,0
C11197,2,71,0
C11198,1,31,1
C11199,1,25,0
C11200,2,53,1
C11201,2,43,1
C11202,1,33,0
C11203,1,28,0
C11204,2,39,1
C11205,1,66,1
C11206,2,27,0
C11207,2,25,0
C11208,1,40,1
C11209,2,55,1
C11210,2,79,1
C11211,1,72,1
C11212,1,20,0
C11213,1,47,1
C11214,2,35,1
C11215,1,69,0
C11216,2,30,0
C11217,1,42,1
C11218,2,48,1
C11219,2,42,1
C11220,1,33,1
C11221,1,44,1
C11222,2,34,1
C11223,1,34,1
C11224,2,60,1
C11225,1,65,0
C11226,2,65,1
C11227,2,38,1
C11228,1,72,0
C11229,1,48,1
C11230,1,41,1
C11231,2,67,0
C11232,2,60,1
C11233,1,35,1
C11234,2,79,1
C11235,2,50,0
C11236,1,48,1
C11237,2,54,1
C11238,1,47,1
C11239,1,49,0
C11240,2,39,1
C11241,1,32,1
C11242,1,84,1
C11243,2,48,1
C11244,1,68,0
C11245,2,42,1
C11246,1,34,1
C11247,1,67,0
C11248,1,45,1
C11249,1,25,0
C11250,2,67,0
C11251,1,62,1
C11252,2,66,1
C11253,1,49,1
C11254,2,66,1
C11255,2,81,1
C11256,1,44,1
C11257,2,20,0
C11258,1,36,1
C11259,1,60,1
C11260,1,47,1
C11261,2,43,1
C11262,2,24,0
C11263,1,20,0
C11264,2,47,1
C11265,2,39,1
C11266,1,51,1
C11267,1,24,1
C11268,1,50,1
C11269,2,44,1
C11270,2,37,0
C11271,2,47,1
C11272,1,65,1
C11273,2,27,1
C11274,1,32,0
C11275,1,47,1
C11276,1,66,1
C11277,2,27,0
C11278,1,46,1
C11279,1,32,0
C11280,2,54,1
C11281,1,21,0
C11282,1,53,1
C11283,2,51,1
C11284,2,22,0
C11285,1,49,1
C11286,2,63,0
C11287,1,49,1
C11288,1,34,1
C11289,1,56,0
C11290,2,47,1
C11291,2,43,1
C11292,2,37,0
C11293,1,29,0
C11294,1,38,1
C11295,1,33,0
C11296,2,36,1
C11297,1,73,1
C11298,1,44,1
C11299,2,87,1
C11300,2,64,1
C11301,1,44,1
C11302,1,46,1
C11303,1,63,1
C11304,2,64,1
C11305,2,34,1
C11306,1,54,1
C11307,1,52,1
C11308,1,49,1
C11309,2,53,1
C11310,2,45,1
C11311,2,42,0
C11312,2,77,0
C11313,1,45,1
C11314,1,25,0
C11315,2,58,0
C11316,1,70,1
C11317,1,44,1
C11318,1,63,1
C11319,1,62,1
C11320,2,70,1
C11321,1,41,0
C11322,1,59,1
C11323,2,45,0
C11324,2,35,1
C11325,2,58,1
C11326,2,37,0
C11327,2,20,0
C11328,2,52,1
C11329,2,70,0
C11330,2,73,0
C11331,1,50,1
C11332,2,41,1
C11333,1,48,1
C11334,2,43,0
C11335,1,33,0
C11336,1,24,0
C11337,1,49,1
C11338,1,62,0
C11339,2,26,0
C11340,1,57,1
C11341,1,83,0
C11342,1,70,1
C11343,2,37,1
C11344,1,36,1
C11345,1,37,1
C11346,1,36,1
C11347,1,60,1
C11348,2,33,0
C11349,1,25,0
C11350,2,41,0
C11351,1,73,0
C11352,2,38,1
C11353,1,44,1
C11354,2,49,0
C11355,2,45,1
C11356,1,29,0
C11357,1,52,1
C11358,1,39,1
C11359,1,46,1
C11360,2,53,1
C11361,1,71,0
C11362,1,36,1
C11363,1,69,0
C11364,2,29,0
C11365,1,64,1
C11366,2,49,0
C11367,1,43,1
C11368,2,35,1
C11369,2,22,0
C11370,2,35,1
C11371,1,57,1
C11372,1,58,1
C11373,1,25,0
C11374,2,77,1
C11375,1,37,1
C11376,1,58,1
C11377,1,69,1
C11378,2,50,0
C11379,2,59,1
C11380,2,68,1
C11381,1,46,1
C11382,2,56,0
C11383,1,48,1
C11384,1,68,1
C11385,2,28,0
C11386,2,39,1
C11387,2,78,1
C11388,2,60,1
C11389,1,51,0
C11390,2,53,1
C11391,2,58,1
C11392,2,66,0
C11393,1,24,0
C11394,1,54,1
C11395,1,67,0
C11396,2,49,1
C11397,2,26,0
